N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
121,,,Inscription de Batau Asaih (Đá Chồng),,Vietnam,Ninh Thuận,Ninh Hải,Tri Hải,Khánh Tường,In situ,In situ,Inscription rupestre,,2,ch.,,1113 (?) śaka,,787 (cet estampage semble être perdu),,,,,"BEFEO XXIII, 267. — P., 97.",millésime lue sur place; le toponyme Thanh Hiếu cité par GC n'est connu de personne,,,
122,,,,,Vietnam,Ninh Thuận,,,,found back in Binh Thuan (2015),In situ,Linteau,,4,ch.,,977,,781,,,,"BEFEO XII (8), 16.","BEFEO XV (2), 41, 49.",photos sent by Sakaya in Jan. 2015,,,
123,,,Inscription de Kanduk,,Vietnam,Ninh Thuận,Ninh Haỉ,Trấn Haỉ (thị trấn),Cà Đù (khu),In situ,In situ,Inscription rupestre,,4,ch.,348x111 (surface inscrite),1188,,852; n. 1894-1899,395 (65),,,"BEFEO 95-96, 470-472","BEFEO XV (2), 51. — P. II, 575.",Même inscription que C. 18.,,,
124,,,,Tour principale,Vietnam,Bình Thuận,,,Phổ-hãi,,In situ,2 inscriptions sur les traverses du vantail de la porte,,,ch.,,moderne (?),,785,,,,,"P., 36.",,,,
125,,,,Édicule Sud-Est,Vietnam,Khánh Hoà,,,Po Nagar de Nha Trang,,In situ,Paroi sud du vestibule,,5,ch.,,935,,568 ; n. 239,,,,"Schweyer, Aséanie 2005 ; BEFEO 2008-09","P., 131. — BEFEO XV (2), 45.",,,,
126,,,,,Vietnam,Khánh Hoà,Ninh Hoà,Ninh Phú,Lệ Cam,In situ,In situ,Inscription rupestre,,2,ch.,,977,,805 ; n. 1891,,,,"BEFEO XV (2), 42.","BEFEO XV (2), 49.",,,,
127,,,,,Vietnam,Khánh Hoà,Ninh Hoà,Ninh Phú,Lệ Cam,In situ,In situ,Roc,,2+1,sk.,,VIe-VIIe,,806 ; n. 1948,,,,"BEFEO XV (2), 112.",,"Cœdès donne erronément nombre de ligne « 1 » ; support plutôt « roc » que le ""inscription rupestre"" qu'il donne.",,,
128,,,,,Vietnam,Bình Định,Phù Cát,Cát Nhơn,Đại Hữu,BTLS HCMV 24408,In situ,Statue de Śiva,,invoc.,sk.,,XIIIe,,,,,,"P., 214.","BEFEO VI, 345 ; XI, 473.","le dos de l'image porte juste l'invocation oṃ namaśivāya | svasti (sic), et rien d'autre; le mitre de l'image est aussi inscrit d'un oṃ stylisé. Schweyer 2008 p. 223+228 dit erronément que la pièce est aujourd'hui disparu. Cf. C. 224.",,,
129,,,,,Vietnam,Bình Định,,,Đại-hữu,,In situ,Fragment d'inscription,,4,ch.,,XIIIe (?),,732,,,,,"BEFEO VI, 345 ; XI, 473. — P., 214.",,,,
130,,,,,Vietnam,Bình Định,,,Phú-sơn,,In situ,Inscription,,1,sk.,,,,719; n. 1101,,,,,"BEFEO XI, 473.",,,,
131,,,,,Vietnam,Bình Định,,,Đại-tỉn,,In situ,Inscription,,3 1/2,ch.,,,,718,,,,,"BEFEO XI, 474.",,,,
132,,,,,Vietnam,Quảng Ngãi,Phổ Thạnh,Đức Phổ,Thạnh Đức 1 ,In situ: plage Vũng (Sa Huỳnh),In situ,Inscription rupestre,,10,ch.,,,,569,,n. 2330 et n. 2331,,,"BEFEO IX, 413, 618. — Madrolle, Indochine du Sud, p. 215","Found by Long Wall project, photos and coordinates N14.69739 E109.07480 supplied by Tran Hoai. Location formerly known as Long Thạnh.",,,
133,,,,,Vietnam,Quảng Ngãi,Bình Sơn,Bình Châu,Phú Quý,on the Ba Làng An promontory where a lighthouse is located today,In situ,Inscription,,3,ch.,,,,,,,,,"BEFEO XI, 474.",see correction Finot in his copy of inventory.,,,
134,,,,,Vietnam,Quảng Nam,,,Khánh-thọ-đong,,Disparue,Dos d'une statue de Buddha,,,sk.,,,,347,,,,,"P., 244.",ye dharmāḥ inscription according to Parmentier. Estampage 347 pas retrouvé.,,,
135,,,,,Vietnam,Quảng Nam,,,Thạch Bích,,In situ,Inscription rupestre,,2,sk.,,VIe,,n. 260,,,,"BEFEO XI, 261.",,Une photo de cette inscription (au complet!) se trouve avec l'estampage n. 260. Extra photo provided by TKP. L'estampage même ne couvre que la première ligne.,,,
136,,,,,Vietnam,Quảng Nam,,,Dưỡng Mông,BTLS Hanoi 21181,"Hanoi : B 2, 32",Piédestal,,2,sk.,12/49/49,VIe,,693 ; n. 160,,,,"BEFEO XI, 262. — ECIC V, ??.","BEFEO XV (2), 18; XXVIII, 167.","French sources spell Dương-mong. According to TKP, the correct spelling is Dưỡng Mông. Confirmed by FB in email of 14 June 2012, with reference to ""the American map"".",,,
137,,,,,Vietnam,Quảng Nam,,,Trà Kiệu,BTLS Hanoi 21182,"Hanoi : B 2, 31",Piédestal,,4,sk.,36/45/45,VIe,,n. 159,,,,"BEFEO XI, 262.","BEFEO XV (2), 17.",,,,
138,,,,,Vietnam,Quảng Nam,,,An Thái,BTLS Hanoi 21155,"Hanoi : B 2, 27",Stèle,B2,2,ch.,108+/47/22,824,,n. 155,,EFEOB-est.n0155_B.jpg,,"BEFEO XI, 277.","BEFEO XV (2), 15; XXIII, 271.",,,,
138,,,,,Vietnam,Quảng Nam,,,An Thái,BTLS Hanoi 21155,"Hanoi : B 2, 27",Stèle,B1,7,sk.,108+/47/22,824,,n. 155,,EFEOB-est.n0155_B.jpg,,"BEFEO XI, 277.","BEFEO XV (2), 15; XXIII, 271.",,,,
138,,,,,Vietnam,Quảng Nam,,,An Thái,BTLS Hanoi 21155,"Hanoi : B 2, 27",Stèle,A,13,sk.,108+/47/22,824,,n. 155,,EFEOB-est.n0155_A.jpg,,"BEFEO XI, 277.","BEFEO XV (2), 15; XXIII, 271.",,,,
139,,,,,Vietnam,Quảng Nam,,,Phú Thuận,BTLS Hanoi 21156,"Hanoi : B 2, 25",Tympan,,10,ch.,59+/92/16,VIIIe-IXe,,n. 153,,,,"BEFEO XI, 10.","BEFEO XV (2), 15.",Il ne s'agit pas d'une « stèle » mais d'un tympan.,,,
140,,,,,Vietnam,Quảng Nam,Quế Sơn,Hương An (jusqu'en 2008 : Quế Phú),Hương Quê (Thôn 6),In situ,In situ,Stèle,A,21,ch.,,1033,,"696, 816 ; n. 262",,,,,"BEFEO XI, 15.",AG lit plutôt 899 comme date; texte présenté en trois paragraphes (10+4+7 lignes); nom du sanctuaire où se trouve la stèle: ,,,
140,,,,,Vietnam,Quảng Nam,Quế Sơn,Hương An (jusqu'en 2008 : Quế Phú),Hương Quê (Thôn 6),In situ,In situ,Stèle,B,25,ch.,,1033,,"696, 816 ; n. 262",,,,,"BEFEO XI, 15.",nom du sanctuaire où se trouve la stèle: ,,,
141,,,,,Vietnam,Quảng Nam,,,Bằng An,BTLS Hanoi 42280,"Hanoi : B 2, 26",Stèle,A,15,sk.,76+/51/12,8xx,,n. 154,,,,"BEFEO XI, 5, 269.","BEFEO XV (2), 15.",,,,
141,,,,,Vietnam,Quảng Nam,,,Bằng An,BTLS Hanoi 42280,"Hanoi : B 2, 26",Stèle,B1,16,sk.,76+/51/12,8xx,,n. 154,,,,"BEFEO XI, 5, 269.","BEFEO XV (2), 15.",,,,
141,,,,,Vietnam,Quảng Nam,,,Bằng An,BTLS Hanoi 42280,"Hanoi : B 2, 26",Stèle,B2,1,ch.,76+/51/12,8xx,,n. 154,,,,"BEFEO XI, 5, 269.","BEFEO XV (2), 15.",,,,
142,,,,,Vietnam,Quảng Nam,,,Hóa Quê,BTLS Hanoi LSb 21184,"Hanoi : B 2, 29",Stèle,c,17,sk.,130+/71/3,831,,n. 157,,EFEOB-est.n0157_C_bis.jpg ; EFEOB-est.n0157_C_bis_haut.jpg ; EFEOB-est.n0157_C_bis_bas.jpg,,"BEFEO XI, 285.","BEFEO XV (2), 16.",nombre de lignes inv. 1942 peut-être incorrecte,,,
142,,,,,Vietnam,Quảng Nam,,,Hóa Quê,BTLS Hanoi LSb 21184,"Hanoi : B 2, 29",Stèle,A,18,sk.,130+/71/3,831,,n. 157,,EFEOB-est.n0157_A.jpg ; EFEOB-est.n0157_A_haut.jpg ; EFEOB-est.n0157_A_bas.jpg,,"BEFEO XI, 285.","BEFEO XV (2), 16.",nombre de lignes inv. 1942 peut-être incorrecte,,,
142,,,,,Vietnam,Quảng Nam,,,Hóa Quê,BTLS Hanoi LSb 21184,"Hanoi : B 2, 29",Stèle,B,19,sk.,130+/71/3,831,,n. 157,,EFEOB-est.n0157_B_bis.jpg ; EFEOB-est.n0157_B_bis_haut.jpg ; EFEOB-est.n0157_B_bis_bas.jpg,,"BEFEO XI, 285.","BEFEO XV (2), 16.",nombre de lignes inv. 1942 peut-être incorrecte,,,
142,,,,,Vietnam,Quảng Nam,,,Hóa Quê,BTLS Hanoi LSb 21184,"Hanoi : B 2, 29",Stèle,d,19,sk.,130+/71/3,831,,n. 157,,EFEOB-est.n0157_D.jpg ; EFEOB-est.n0157_D_haut.jpg ; EFEOB-est.n0157_D_bas.jpg,,"BEFEO XI, 285.","BEFEO XV (2), 16.",nombre de lignes inv. 1942 peut-être incorrecte,,,
143,,,,,Vietnam,Quảng Nam,Điện Bàn,,La Thọ,BTLS HCMV 1313,"Hanoi : D 22, 10",Plat,,1,ch.,,IX-Xe,,,,,,"BEFEO 95-96, 477","BEFEO XI, 4714. — BCAI 1912, 2111.",,,,
144,,,,,Vietnam,Quảng Nam,Điện Bàn,,La Thọ,Introuvable,"Hanoi : D 22, 8",Patène,,1,sk.,,XIe,,,,,,"BEFEO XI, 4715. — BCAI 1912, 2122.",,,,,
145,,,,,Vietnam,Quảng Nam,Điện Bàn,,La Thọ,BTLS HCMV 1295,"Hanoi : D 22, 7",Aiguière,,1,sk.,,IX-Xe,,,,,,"BEFEO XI, 4716. — BCAI 1912, 2123.",,,,,
146,,,,,Vietnam,Quảng Nam,,,Phú Sơn,,In situ,Fragment de stèle,,13,ch.,,,,733,,,,,"P., 335.",,,,
147,,,,,Vietnam,Quảng Nam,,,Chiêm Sơn,In situ,In situ,Inscription rupestre,,4,sk.,,Ve,,n. 263,,,,"BEFEO XVIII (10), 13, 58.","La photo de la Fondation Lerici publiée Champa and the Archaeology of My Son, p. 198, appartient à cette inscription et pas a C. 105.","Cœdès 1923, p. 151 n. 7 : « C. 147. — L'ancien n° 147, faisant double emploi avec n° 111, a été remplacé par une inscription nouvellement découverte. — De la province de Quảng Nam proviennent encore deux inscriptions illisibles : une stèle à quatre faces (Hanoi, B 2, 33 = est. n. 40) et un linteau (Hanoi, B 2, 34 = est. n. 41 et n. 161). »",,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,b1,3,ch.,87+/53/19,843,,694 ; n. 1076 ; n. 2365,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.,,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,d,12,ch.,87+/53/19,843,,694 ; n. 2367,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,"La 12e ligne est encastrée, et fut déjà largement dommagée quand est. 694 a été réalisé.",,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,A,14,sk.,87+/53/19,843,,694 ; n. 1076 ; n. 2364,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,Nous adoptons la date proposée par Majumdar.,,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,C,14,ch.,87+/53/19,843,,694 ; n. 2366,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,Nous adoptons la date proposée par Majumdar.,,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,b2,7.5,sk.,87+/53/19,843,,694; n. 1076 ; n. 2365,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.,,,
148,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Vinh,Lai Trung (láng),"In situ, temple Dinh Ngài",In situ,Stèle,b3,6.5,ch.,87+/53/19,843,,694; n. 1076 ; n. 2365,,,,"BEFEO XI, 15, 268.",Nguyễn Văn Quảng 2012: 65.,Nous adoptons la date proposée par Majumdar. Huber est du coup Cœdès n'ont pas correctement représentée la repartition des langues et lignes sur la face b.,,,
149,,,,,Vietnam,Quảng Trị,Triệu Phong,Ái Tử (thị trấn),Nhan Biều (làng),BTLS Hanoi 21154,"Hanoi : B 2, 28",Stèle,A,14,sk.,115+/63/63,833,,695 ; n. 156,,,,"BEFEO XI, 299.","BEFEO XV (2), 16.",vérifier nom de la provenance; BTLSH note Nham Biền,,,
149,,,,,Vietnam,Quảng Trị,Triệu Phong,Ái Tử (thị trấn),Nhan Biều (làng),BTLS Hanoi 21154,"Hanoi : B 2, 28",Stèle,B,14,sk.,115+/63/63,833,,695 ; n. 156,,,,"BEFEO XI, 299.","BEFEO XV (2), 16.",vérifier nom de la provenance; BTLSH note Nham Biền,,,
149,,,,,Vietnam,Quảng Trị,Triệu Phong,Ái Tử (thị trấn),Nhan Biều (làng),BTLS Hanoi 21154,"Hanoi : B 2, 28",Stèle,C,11,sk.,115+/63/63,833,,695 ; n. 156,,,,"BEFEO XI, 299.","BEFEO XV (2), 16.",vérifier nom de la provenance; BTLSH note Nham Biền,,,
149,,,,,Vietnam,Quảng Trị,Triệu Phong,Ái Tử (thị trấn),Nhan Biều (làng),BTLS Hanoi 21154,"Hanoi : B 2, 28",Stèle,D,12,ch.,115+/63/63,833,,695 ; n. 156,,,,"BEFEO XI, 299.","BEFEO XV (2), 16.",vérifier nom de la provenance; BTLSH note Nham Biền,,,
150,,,,,Vietnam,Quảng Bình,Quảng Trạch,Quảng Phú,Bac Hạ (dite inscription de Roòn),"BTC 1, 6","Tourane : 1, 6",bandeau,,4,sk.,,VIIIe,IXe,843 ; n. 2070,,,,"BEFEO XI, 267. — ICDN, 235.","JA 1908 (2), 331. — P., 550.",l'estampage 843 est encré; orthographe Rồn dans inv. Cœdès semble avoir été une erreur.,,,
151,,,,,Vietnam,(?),,,(?),BTLS Hanoi 42276,"Hanoi : B 2, 36",Fragment de base de pilastre,,2,ch.,38/28/27,1181 (?),,n. 162,,,,,"BEFEO XV (2), 18.",,,,
152,,,,,Vietnam,Quảng Nam (?),,,(?),"Đà Nằng : 45, 2 = BTC 86","Tourane : 45, 2",Bordure de bas-relief,A/propre droit,1,ch.,58/70/36,,,n. 36,,,,,"BEFEO XV (2), 192 ; XIX (3), 102. — P., 572.","Le même cote 45, 2 se trouve attribué aussi à C. 166. Il s'agit d'une seule pièce d'angle portant deux bas reliefs avec  une ligne d'inscription chacun. Annuler C. 166. Indice A/B convient?",,,
152,,,,,Vietnam,Quảng Nam (?),,,(?),"Đà Nằng : 45, 2 = BTC 86","Tourane : 45, 2",Bordure de bas-relief,B/propre gauche,1,ch.,58/70/36,,,n. 36,,,,,"BEFEO XV (2), 192 ; XIX (3), 102. — P., 572.","Le même cote 45, 2 se trouve attribué aussi à C. 166. Il s'agit d'une seule pièce d'angle portant deux bas reliefs avec  une ligne d'inscription chacun. Annuler C. 166.  Indice A/B convient?",,,
153,,,,,Vietnam,Bình Định,,,Thập Tháp,,"Tourane : 1, 5",Piédroit,,17,ch.,,,,817 ; n. 258,,,,,"BEFEO XVIII (10), 56 ; XIX (3), 12.",,,,
154,,,,,Vietnam,Quảng Nam,,,Phu-nhuan,,In situ,Inscription rupestre,,,,,,,818 ; n. 261,,,,,"BEFEO XVIII (1), 58.",,,,
155,,,,,Vietnam,Quảng Nam,,,An-thái,,"Tourane : 1, 3",Cuve,,3,,,,,822 ; n. 257,,,,,"BEFEO XIX (3), 11.",,,,
156,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Hồng,Cẩm Vân,,In situ,Piédroit,,3,ch.,,975,,819 ; n. 268,,,,,BEFEO 23: 273; AVS 2009: 34-35,,,,
157,,,,,Vietnam,Quảng Nam (?),,,,Đà Nằng : BTC 87,"Tourane : 45, 1",Bordure de bas-relief,,1,,,,,,,,,,"P., 333, n° 26. — BEFEO XIX (3), 102. — BEFEO 95-96, 449. ","Les bas-reliefs BTC 82 et BTC 87 portent tous les deux l'ancien no. d'inv. 45, 1 ; aucune trace d'inscription n'est visible ni sur l'un ni sur l'autre mais les deux sont encastrés et il se peut qu'un bord maintenant couvert porte une inscription. Idenfication avec BTC 87 permise par planche XVIII dans Parmentier 1922. Cœdès appelait justement l'inscription «ruinée». ",,,
158,,,,,Vietnam,Quảng Nam,,,An-my-đông,,,Fragment inscrit,,4,,,,,820 ; n. 271,,,,,,,,,
159,,,,,Vietnam,Quảng Nam,,,Thu-bon,,In situ,Inscription et graffito sur roc,,3,ch.,,,,821 ; n. 273,,,,,,,,,
160,2,,,,Vietnam,Quảng Nam,,,Trung Phươc,,In situ,Inscription rupestre,,2,,,,,823 ; n. 274,,,,,,dans le dt. de Nong Son? Photo est. dans photothèque.,,,
160,1,,,,Vietnam,Quảng Nam,,,Trung Phươc,,In situ,Inscription rupestre,,6,,,,,823 ; n. 274,,,,,,dans le dt. de Nong Son? Photo est. dans photothèque.,,,
161,,,,,Vietnam,Quảng Nam,,,Chiêm Sơn,"BTĐN 1205, BTC 1498","Đà Nằng : 12, 5",Dos d'une statue de Śiva assis sur taureau,,7,ch.,56/48/37,1365,,"824 ; n. 272, n. 511, n. 2131, n. 2132",,,,,"IC I [1937], p. 311.","In ne s'agit pas d'une inscription sur Nandin, contrairement à la description de Cœdès. Possibilité de joindre sous C. 215?",,,
162,,,,,Vietnam,Quảng Nam,,,An-ninh,,,Cuve à ablutions,,2,ch.,,,,825 ; n. 269,,,,,,,Cœdès 1923,,
163,,,,,Vietnam,Quảng Nam,,,Phu-hanh,,,Graffiti,,,,,,,n. 267,,,,,,,,,
164,,,,,Vietnam,Quảng Nam,,,An-hoà,,In situ,Inscription rupestre,,1 ligne sur trois faces,,,,,n. 270,,,,,,,,,
165,,,,,Vietnam,Quảng Nam,,,Vinh-trinh,,In situ,Inscription rupestre,,,,,,,n. 289,,,,,,,,,
166,,,,,Vietnam,(?),,,(?),,"Tourane : 45, 2",Quelques mots frustes sur un bas-relief,,,,,,,,,,,,"P., 572 ; BEFEO XIX (3), 102.","La même cote 45, 2 se trouve attribuée aussi à C. 152. Il s'agit d'une seule pièce d'angle portant deux bas reliefs avec  une ligne d'inscription chacun. Annuler C. 166 et ranger tout sous C. 152.",,,
167,,,,,Vietnam,Kon Tum,,,Kon Klor,,"Résidence de Kon-tum 1, 2",Cuve à ablutions,A,3,sk.,,836,,n. 291,,,,,"BEFEO XIX (5), 103; XXVII, 460.","add reference to Finot, Lokeśvara en Indochine. Information from TKP: ""Kon Klor is located in modern Kon Tum province, within the administative district of the town (Thành phố Kon Tum).""",,,
167,,,,,Vietnam,Kon Tum,,,Kon Klor,,"Résidence de Kon-tum 1, 2",Cuve à ablutions,B,3,sk.,,836,,n. 291,,,,,"BEFEO XIX (5), 103; XXVII, 460.",,,,
167,,,,,Vietnam,Kon Tum,,,Kon Klor,,"Résidence de Kon-tum 1, 2",Cuve à ablutions,C,3,sk.,,836,,n. 291,,,,,"BEFEO XIX (5), 103; XXVII, 460.",,,,
167,,,,,Vietnam,Kon Tum,,,Kon Klor,,"Résidence de Kon-tum 1, 2",Cuve à ablutions,D,4,ch.,,836,,n. 291,,,,,"BEFEO XIX (5), 103; XXVII, 460.",,,,
167,,,,,Vietnam,Kon Tum,,,Kon Klor,,"Résidence de Kon-tum 1, 2",Cuve à ablutions,E,6,ch.,,836,,n. 291,,,,,"BEFEO XIX (5), 103; XXVII, 460.",,,,
168,,,,,Vietnam,Quảng Ngãi,Đức Phổ,Phổ Thạnh,Long Thạnh,,In situ,Inscription rupestre,,quelques lettres,ch.,,,,850,,,,,,,,,
169,,,,,Vietnam,Quảng Ngãi,Đức Phổ,Phổ Thạnh,La Vân,,In situ,Inscription rupestre,,1,ch.,,,,851,,,,,"Madrolle, Indochine du Sud, p. 215",,,,
170,,,,,Vietnam,Quảng Ngãi,Đức Phổ,Phổ Thuận,Mỹ Thuận,,In situ,Inscription rupestre,,6,,,,,,,,,,,,,,
171,,,,,Vietnam,Quảng Bình,Quảng Ninh,An Ninh,Đại Hữu,BTLS Hanoi 21179,"Hanoi : B 2, 37",Fragment de cuve à ablution,,3+3,sk.,,IXe,,860 ; n. 507,,,,,"BEFEO XXV, 472. — BCAI 1917-30, 59.",,,,
172,,,,,Vietnam,Quảng Bình,Lệ Thủy,Sơn Thủy,Mỹ Đức (làng),Introuvable,"Tourane : 1, 7",Fragment d'inscription,,2,sk.,,IXe,,861,,,,"BEFEO XXV, 474.","BEFEO XXII, 373.",,,,
173,,,,,Vietnam,Quảng Nam,,,Trà Kiệu,BTLS Hanoi 42277,"Hanoi : B 2, 38",Socle,,2 sur deux faces,sk.,54/54/12,VIe,,n. 508,,,,"BEFEO XXVIII, 147.","BEFEO XXVII, 478. — BCAI 1917-30, 56.",Une photo de l'estampage n. 508 se trouve avec l'estampage: EFEO-n508lég.jpg. Diviser en C. 173 A et B?,,,
174,,,,,Vietnam,Quảng Nam ,,,Chiêm Sơn,,In situ,Inscription rupestre,,3,ch.,,Ve,,n. 1072,,,,,"BEFEO XXXV, 471.",,,,
175,,,,,Vietnam,Bình Định,,,Khành Lễ,Đà Nằng : ĐN 1190,"Tourane : 33, 16",Base pour sommet de tour : 8 antéfixes inscrits,,,,circonférence avec antéfixes : 223/hauteur : 36,,,n. 512,,,,"ICDN, 245.","BEFEO XXVIII, 601. ",,,,
176,,,,,Vietnam,Bình Định,,,Khành Lễ,,Tourane,Fragment de Nandin (?) en terre cuite,,2,,,,,n. 513,,,,,,,,,
177,,,,,Vietnam,Bình Định,,,Khành Lễ,,"Tourane : 1, 16",6 inscriptions sur briques,,,,,,,n. 514,,,,,"BEFEO XXVIII, 602.","même texte d'une des 6 inscriptions se trouve sur le makara en terre cuite du Musée de Da Nang (BTC 28 = Tourane 31, 5)",,,
178,,,,,Vietnam,Quảng Nam,,,Vhựt-giáp,,In situ,Fragment d'inscription,,2,ch.,,,,n. 792,,,,,,,,,
179,,,,,Vietnam,Bình Định,,,Thập Tháp,,"Tourane : 1, 9",2 fragments d'inscription,,6,ch.,,XIVe,,n. 794,,,,,"BEFEO XXX, 214.","Datée ""XIe"" par Cœdès. Mais probablement plus tardive. Époque de Vīrabhadravarmadeva? Noter aussi la remarque dans BEFEO 30: ""L'écriture est celle de l'inscription de la porte royale de Bình Định (1323 çaka).""",,,
180,,,,,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Socle,,2 sur deux faces,ch.,,1200,,,,,,,"BEFEO XXXI, 324.","ajouter Schweyer 2005, p. 106 à la bibliogr.",,,
181,,,,,Vietnam,Quảng Trị,Triệu Phong,An Lưu (tổng),Thạch Hãn,"Đà Nẵng : 24, 4 = BTC 38","Tourane : 24, 4",Bas-relief dit des « joueurs de polo »,,1,?,,?,,"n. 995, n. 2130",,,,"ICDN, 251.",,Đại An in Cœdès' inventory (and hence in Da Nang catalog) seems to be a mistake. No such place name is known today.,,,
182,,,,,Vietnam,Bình Định,,,Chánh Mẫm,"Đà Nẵng : 1, 20 = BTĐN 104","Tourane : 1, 10",Fragment d'inscription,,3,ch.,"17,5/17,5/39",XIIe,,n. 999,,,,,,datation XIe de Cœdès nous paraît trop haute; plutôt XIIe śaka (synchronie avec C. 123). La langue est évidemment du cam et pas du skt. Noter incohérence entre no. Tourane Cœdès et indication que porte la pierre même.,,,
183,,,,,Vietnam,Bình Định,,,Tháp Mẫm,Đà Nằng : BTĐN 30,"Tourane : 26, 17",Piédroit,A,12 environ,,152/40/40,XIIe,,n. 1000,,,,,,"il s'agit d'un piédroit, à notre avis, et non pas d'un pilier (terme utilisé par Cœdès)",,,
183,,,,,Vietnam,Bình Định,,,Tháp Mẫm,Đà Nằng : BTĐN 30,"Tourane : 26, 17",Piédroit,B,5 fragments de ligne,,152/40/40,XIIe,,n. 1000,,,,,,"il s'agit d'un piédroit, à notre avis, et non pas d'un pilier (terme utilisé par Cœdès)",,,
184,,,,,Vietnam,Bình Định,,,Tháp Mẫm,Đà Nẵng : ĐN 171,"Tourane : 9, 14",Piédestal de dvārapāla,,1,,circonférence : 296/hauteur maximale : 57/longueur de la surface inscrite conservée : 156,,,n. 1001,,,,,,une avec C. 185?,,,
185,,,,,Vietnam,Bình Định,,,Tháp Mẫm,"BTC 466, BTC 1482 ","Tourane : 9, 15",Piédestal de dvārapāla en deux fragments,,1,,,,,n. 1002,,,,,,"Il y une autre pièce portant le no. d'inv. 9, 15 au BTC, qui ne porte pas d'inscription. L'estampage n. 1002 ne couvre pas toute l'inscription.",,,
186,,,,Nord-Ouest,Cambodge,Siem Reap,,,Prasat Chrung,Dépôt de la Conservation d'Angkor,In situ,Stèle,,2,ch.,,2425 EB,1881,"582, n. 486",,,,Weber 2014: 256-257,"IC IV, 207-208.","Inscrit au dessus de K. 287. Le lot EFEO n. 486 comporte à part quatre estampages de l'inscription en cham mod. inventoriée comme C. 186 nombre d'autres petits estampages dont l'appartenance à ladite inscription paraît incertaine. Ces estampages portent des extensions a-i. Les petites inscriptions ou éléments d'inscriptions en question sembleraient a priori appartenir au corpus khmer, en n'ont peut-être pas encore inventoriés.",,,
187,,,,,Vietnam,Quảng Ngãi,,,Lavan,,In situ,2 fragments d'inscription,,2+3,ch.,,,,876,,,,,,,,,
188,,,,E4,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Base de pilier,,1,ch.,,,,n. 1079,,,,,,,,,
189,,,,,Vietnam,?,,,?,,?,Inscription,,3,,,,,n. 38,,,,,,,,,
190,,,,,Vietnam,?,,,?,,?,Graffito,,1,ch.,,,,695,,,,,,,,,
191,,,,,Vietnam,Bình Định,,,Tháp Mẫm,BTLS Hanoi 19860,"Hanoi : B 2, 39",Fragments d'inscription,,,ch.,,,,n. 1081,,EFEOB-est.n1081_1.jpg jusqu'à EFEOB-est.n1081_57.jpg,,,,chercher rapport fouilles Claeys 1934 dans BEFEO ; a priori 57 fragments.,,,
192,,,,,Vietnam,Bình Định,,,Tháp Mẫm,Đà Nằng : BTC 379,"Tourane : 1, 14",Pillier ruiné,,5 et 6,ch.,,,,n. 1082,,,,,,classifiée comme stèle par Cœdès,,,
193,,,,,Vietnam,Bình Định,,,An-ngãi,,"Tourane : 1, 15",Fragment d'inscription,,5,sk.,,,,n. 1097,,,,,,,,,
194,,,,,Vietnam,Bình Định,,,Thọ-lộc,,"Tourane : 1, 11",Inscription,,1,sk.,,,,n. 1098,,,,,,,,,
195,,,,,Vietnam,Bình Định,,,Tháp-mẫm,,"Tourane : 1, 12",Fragment d'inscription,,2,,,,,n. 1125,,,,,,,,,
